restaurant_name,nyt_review_date,nyt_review_rating,num_reviews_before,num_reviews_after,num_positive_reviews_before,num_positive_reviews_after,num_negative_reviews_before,num_negative_reviews_after,num_neutral_reviews_before,num_neutral_reviews_after
Fish Cheeks,2016-11-22,1.0,22,17,18,14,4,3,0,0
Empellón,2017-07-27,3.0,13,11,10,8,3,3,0,0
Caravaggio,2013-05-14,1.0,2,1,1,1,1,0,0,0
Somtum Der,2013-11-26,1.0,11,13,7,9,4,4,0,0
Randazzo's Clam Bar,2013-04-23,1.0,2,5,1,3,1,2,0,0
Gramercy Tavern,2016-08-16,2.0,21,21,16,20,5,1,0,0
Eleven Madison Park,2015-03-17,4.0,14,14,13,12,1,2,0,0
Blanca,2015-06-16,3.0,3,1,3,1,0,0,0,0
Bangkok Supper Club,2023-11-21,2.0,20,10,18,9,2,1,0,0
Wildair,2015-10-06,2.0,4,7,4,6,0,1,0,0
Lilia,2016-03-29,3.0,9,15,9,10,0,4,0,1
Potluck Club 佰樂,2023-07-25,1.0,6,21,6,19,0,2,0,0
Little Pepper,2016-02-23,2.0,3,10,2,7,1,3,0,0
Sadelle's,2016-01-05,1.0,21,15,16,10,4,4,1,1
Insa,2016-03-15,2.0,11,15,5,10,6,5,0,0
Minton's Playhouse,2015-04-28,1.0,5,10,4,7,1,3,0,0
Ivan Ramen,2014-08-05,2.0,34,34,30,25,4,9,0,0
Pasquale Jones,2016-07-26,2.0,5,5,2,3,3,2,0,0
New Lake Pavilion,2013-09-24,2.0,3,2,2,2,1,0,0,0
Gabriel Kreuther,2015-09-22,3.0,5,15,5,15,0,0,0,0
Russ & Daughters Cafe,2014-07-29,2.0,14,12,12,10,2,2,0,0
Family Meal at Blue Hill,2014-10-28,3.0,6,6,5,6,1,0,0,0
Libertine,2023-09-05,2.0,6,12,4,6,2,6,0,0
abcV,2017-07-03,2.0,16,21,15,17,1,3,0,1
Via Carota,2015-03-03,2.0,2,10,2,8,0,2,0,0
Tsuru Ton Tan,2016-11-15,1.0,56,73,49,64,7,9,0,0
ABC Cocina,2013-07-30,2.0,18,22,17,20,1,2,0,0
Shuko,2015-02-17,3.0,5,9,5,7,0,2,0,0
SUGARFISH | Flatiron,2017-03-21,0.3,39,31,29,23,10,8,0,0
Javelina,2015-05-19,0.3,23,28,11,22,10,5,2,1
Estela,2013-09-17,2.0,6,6,4,4,2,2,0,0
Cosme,2015-02-03,3.0,23,26,20,17,3,9,0,0
Superiority Burger,2015-09-01,3.0,0,0,0,0,0,0,0,0
Dirty French New York,2014-12-09,2.0,16,14,12,12,4,2,0,0
Jams,2015-11-10,0.5,6,13,4,9,2,4,0,0
Aska,2016-12-06,2.0,4,3,4,2,0,1,0,0
Bar Primi Bowery,2014-09-02,2.0,13,19,9,13,4,6,0,0
Houseman,2015-09-29,2.0,4,4,3,4,1,0,0,0
I Sodi,2016-04-12,2.0,2,3,0,1,1,2,1,0
Bowery Meat Company,2015-03-10,2.0,7,6,3,5,4,0,0,1
Llama Inn,2016-02-09,2.0,18,19,18,15,0,4,0,0
Aquavit,2015-05-26,3.0,7,6,7,6,0,0,0,0
Indian Accent,2016-05-24,2.0,12,10,12,6,0,4,0,0
Le Coucou,2016-11-01,3.0,7,10,7,10,0,0,0,0
The Clocktower,2015-08-25,2.0,9,12,6,12,3,0,0,0
Tatiana By Kwame Onwuachi,2023-03-14,3.0,15,17,14,16,1,1,0,0
Carbone,2013-06-04,3.0,10,10,5,10,5,0,0,0
Tempura Matsui,2015-11-17,2.0,2,1,2,1,0,0,0,0
Don Peppe,2017-06-20,1.0,7,4,5,3,2,1,0,0
Olmsted,2016-08-09,2.0,7,12,6,9,1,3,0,0
